course_id,course_title,is_paid,price,num_subscribers,num_lectures,content_duration,published_timestamp,subject
93850,Financial Modeling - Facebook Case Study,TRUE,20,1564,9,2,2013-10-09T00:45:01Z,Graphic Design
94428,Learn Complete Web Development From Scratch,TRUE,25,9,13,1.5,2013-10-02T05:31:08Z,Business Finance
94430,Learn Javascript & JQuery From Scratch,TRUE,40,14074,46,12,2013-10-23T09:23:00Z,Web Development
94432,Learn PHP Fundamentals From Scratch,TRUE,30,84897,10,2,2013-10-10T15:19:29Z,Web Development
94532,Beginner Financial Analysis: Invest Like Warren Buffett,FALSE,0,48650,9,2,2013-10-16T08:12:40Z,Web Development
95176,ChalkTalk: Financial Accounting,TRUE,50,83,19,0.683333333,2014-03-10T21:49:34Z,Business Finance
97338,Forex Basics,TRUE,20,25,108,3.5,2014-01-23T22:33:18Z,Business Finance
98066,Complete Website & CMS in PHP & MySQL From Scratch!,FALSE,0,22344,26,3.5,2013-10-16T17:40:23Z,Business Finance
98140,Introduction to Bootstrap 3,TRUE,20,3357,48,12.5,2014-04-18T09:51:00Z,Web Development
98706,Stock Market for Beginners. Learn to trade,TRUE,20,5795,29,2.5,2013-09-27T03:11:22Z,Web Development
99324,Acoustic Blues Guitar Lessons,TRUE,35,143,42,3.5,2013-10-03T17:44:22Z,Business Finance
99826,Become A Web Developer And Seller - Build Websites With HTML,FALSE,0,8217,10,1,2013-09-30T20:45:20Z,Musical Instruments
99946,Fingerpicking Blues Guitar Lessons - Bottleneck Guitar,TRUE,200,21730,35,2.5,2013-10-05T12:49:46Z,Web Development
99986,Introduction to Web Development,TRUE,20,237,6,1.5,2013-10-08T07:43:00Z,Musical Instruments
100526,Winning Options Trading System,TRUE,20,18143,15,2,2013-10-04T13:40:59Z,Web Development
100916,Blues Guitar Lessons - Blues Guitar - Robert Johnson,TRUE,105,367,24,7.5,2013-10-09T21:12:00Z,Business Finance
101038,Bitesize Bookkeeping for busy people,TRUE,20,297,7,2.5,2013-10-07T15:34:58Z,Musical Instruments
101234,The Smart Option Trader,TRUE,20,9,13,1.5,2015-03-29T18:18:33Z,Business Finance
101496,How To Play Blues Guitar - Broonzy & McGhee Blues Lessons,TRUE,45,412,74,13,2013-10-10T22:02:48Z,Business Finance
101498,Blues Guitar Lessons - From Texas To Carolina,FALSE,0,8240,6,1.5,2013-11-23T12:27:56Z,Musical Instruments
101500,Guitar Lessons - Blind Blake - King Of Ragtime Blues Guitar,TRUE,20,1297,9,2.5,2013-10-13T09:01:34Z,Musical Instruments
101504,Blues Guitar Lessons - Ragtime Blues Guitar,TRUE,20,65,13,4,2013-11-25T15:20:27Z,Musical Instruments
101864,Programming for Entrepreneurs - JavaScript,TRUE,20,59,6,2,2013-11-26T16:12:43Z,Musical Instruments
103144,Forex Elite Trading,TRUE,200,12873,38,2.5,2013-11-11T00:28:17Z,Web Development
103662,Introduction to Lead Guitar,TRUE,85,623,22,6,2013-10-18T16:06:44Z,Business Finance
104304,"Learn To Play The Piano Using Pop, R&B and Gospel Chords",TRUE,20,245,34,1.5,2013-11-26T23:41:44Z,Musical Instruments
105350,Play Piano Today - Easy Festive Favorites & Piano Party Hits,TRUE,50,1504,14,0.683333333,2013-10-15T18:13:46Z,Musical Instruments
105972,Foundation of Options Trading and Investing,TRUE,75,3122,80,4,2013-10-27T15:18:29Z,Musical Instruments
106156,"Create, Update and Manage Your Own Website Using Drupal 7",TRUE,20,6374,14,1,2013-10-16T04:41:28Z,Business Finance
106178,Become a Heroku Rails Ninja: Expert Level Deployment Tools,TRUE,120,2837,49,7,2013-10-16T21:22:35Z,Web Development
106358,Learn To Play Guitar Complete Beginners Quick Start,TRUE,50,7090,30,8.5,2014-02-15T16:03:28Z,Web Development
108384,How to Make a Custom Graphic ,TRUE,20,75,11,1,2013-10-16T16:25:07Z,Musical Instruments
109622,Finance - Ratios Analysis & Interpretations,TRUE,20,87,8,1,2013-10-24T04:16:41Z,Graphic Design
109988,Understand Banks & Financial Markets ,TRUE,30,10338,41,2.5,2013-10-23T18:34:25Z,Business Finance
112296,Mergers and Acquisitions M&A Essentials You Need to Know,TRUE,30,1548,34,3,2013-12-19T21:19:37Z,Business Finance
112314,"Learn Guitar The Easy Way, It's Faster",TRUE,95,4103,15,1,2013-11-13T11:08:51Z,Business Finance
112602,CSS and CSS3 For Absolute Beginners,TRUE,125,1284,40,12.5,2013-11-28T08:54:00Z,Musical Instruments
113518,Build Flat Responsive Website from Scratch - Complete Course,TRUE,25,57,16,4.5,2013-11-14T17:47:35Z,Musical Instruments
113706,International Trade and New Geographic Economy,TRUE,75,10890,33,5,2013-11-01T17:12:45Z,Web Development
113712,Writing CSS with {LESS} - Tutorial From Infinite Skills,TRUE,35,12105,54,7.5,2013-12-04T13:33:41Z,Web Development
113888,Improve Your Financial Literacy,TRUE,20,12,6,0.533333333,2013-12-05T20:10:14Z,Business Finance
114518,Straight From Business School: Create Financial Statements,TRUE,50,788,25,2,2013-11-01T18:13:28Z,Web Development
115752,CPA 101: How To Master Affiliate Marketing In No Time,FALSE,0,9995,10,2,2014-02-10T03:50:00Z,Business Finance
116128,Gana en la Bolsa con An?isis T?nico,TRUE,20,31,5,1,2013-11-28T01:07:56Z,Business Finance
116924,How to Draw Pinups and Sexy Women,TRUE,100,11517,21,1.5,2013-11-09T21:46:52Z,Business Finance
117004,FX Trading for Beginners,TRUE,25,91,35,8.5,2014-01-29T09:35:29Z,Business Finance
118836,Aprende a hacer paper trading (simulaci?) con Ninja Trader,TRUE,75,3525,33,20,2013-11-19T03:05:51Z,Graphic Design
